type,name,res_id,src,value,fuzzy
field,"account.invoice.line,discount",0,Discount %,Rabatt %,0
model,"ir.action,name",report_invoice_discount,Invoice,Rechnung,0
odt,account.invoice,0,%,%,0
odt,account.invoice,0,Amount,Betrag,0
odt,account.invoice,0,Base,Netto,0
odt,account.invoice,0,Credit Note N°:,Gutschrift Nr.:,0
odt,account.invoice,0,Date,Fällig am,0
odt,account.invoice,0,Date:,Datum:,0
odt,account.invoice,0,Description,Beschreibung,0
odt,account.invoice,0,Description:,Beschreibung:,0
odt,account.invoice,0,Discount,Rabatt,0
odt,account.invoice,0,Draft Credit Note,Gutschrift (Entwurf),0
odt,account.invoice,0,Draft Invoice,Rechnung (Entwurf),0
odt,account.invoice,0,Draft Supplier Credit Note,Gutschrift (Entwurf),0
odt,account.invoice,0,Draft Supplier Invoice,Rechnung (Entwurf),0
odt,account.invoice,0,E-Mail:,E-Mail:,0
odt,account.invoice,0,Invoice N°:,Rechnung Nr.:,0
odt,account.invoice,0,Payment Term,Zahlungsbedingung,0
odt,account.invoice,0,Phone:,Telefon:,0
odt,account.invoice,0,Pro forma Credit Note,Gutschrift Pro Forma,0
odt,account.invoice,0,Pro forma Invoice,Rechnung Pro Forma,0
odt,account.invoice,0,Pro forma Supplier Credit Note,Gutschrift Pro Forma,0
odt,account.invoice,0,Pro forma Supplier Invoice,Rechnung Pro Forma,0
odt,account.invoice,0,Quantity,Anzahl,0
odt,account.invoice,0,Supplier Credit Note N°:,Gutschrift Nr.:,0
odt,account.invoice,0,Supplier Invoice N°:,Rechnung Nr.:,0
odt,account.invoice,0,Tax,Steuer,0
odt,account.invoice,0,Taxes,Steuern,0
odt,account.invoice,0,Taxes:,Steuern:,0
odt,account.invoice,0,Total:,Gesamt:,0
odt,account.invoice,0,Total (excl. taxes):,Netto:,0
odt,account.invoice,0,Unit Price,Einzelpreis,0
odt,account.invoice,0,VAT:,USt-ID-Nr:,0
